% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 17:25"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-1.5080060008739904,-9.885642007544476,496.95291862393645,6.160755216457879E14,4.851701831958332E15,-8.149794389148635E15,-6.101294008060099E14,-1.820098240425848E15,3.1532867708177895E15,2.2313649681688248E15,1.377328568711207E16,-2.2130625768734448E16,-5.18979981673742E14,-5.379019712745681E15,8.561195047676019E15,5.323102014255861E15,2.7525648947675696E16,-4.2425064307506176E16,1.1353902330821722E15,-1.1130884643400442E16,1.6411611455449946E16
0,-10,496.0091653388107,1.898069959164515E14,5.697460003873055E15,-9.743368455712878E15,3.2588579392300175E14,-3.2646038320729375E15,5.584365754484297E15,1.3347675619350542E15,1.6307594572345874E16,-2.6319867793009388E16,2.3141363150050035E15,-9.342452373602066E15,1.508186996753227E16,4.0927909224768255E15,3.2828750425945892E16,-5.019660057142832E16,7.112298960876092E15,-1.88060174846552E16,2.8760958920305772E16
-1.7231478430719906,-9.85041935710944,495.00912808141294,1.8202398350848842E15,7.427938852855907E15,-1.3049224794296574E16,9.229198863760861E14,-2.9664127885481085E15,4.724695910439871E15,5.812366618586403E15,2.1159953995392668E16,-3.5063299061745236E16,4.3051473505580055E15,-8.781341132283523E15,1.2692253636602856E16,1.2770789820578034E16,4.2418139044448488E16,-6.6520626886713528E16,1.1620729698508394E16,-1.8195960704953092E16,2.4077285249238372E16
0,-9.999999999999998,494.0090908240154,1.4943848116851602E15,8.566950057672553E15,-1.435057471857835E16,2.6007720226935025E15,-4.909044453282073E15,8.226458215729928E15,5.230959182478836E15,2.4479748509199552E16,-3.8370718192228584E16,9.10901227582255E15,-1.402476844716148E16,2.1991863739117588E16,1.2224160021927602E16,4.9206133844199096E16,-7.2435708668507408E16,2.129341383910714E16,-2.8188808751507588E16,4.1513006376754856E16
-1.7228405848657522,-9.850473101285004,493.00905356653993,3.5383954695319435E15,1.070149804742841E16,-1.8065774127304676E16,3.7632756808187875E15,-4.755628361033203E15,6.541427274047359E15,1.0757426523713018E16,3.0362656567872896E16,-4.8079420008455744E16,1.2598643773269822E16,-1.3871674414549602E16,1.7404748435031398E16,2.2773873012473776E16,6.0645699706322312E16,-9.0336023356421184E16,2.8604902962221548E16,-2.8388508050439876E16,3.26987192644137E16
-8.77089767458613,-4.803264929393297,492.93890984355676,7.740659629460648E15,7.191513791274403E15,-1.6550414352139216E16,7.523275097237815E15,-6.965153683873761E14,-1.012435150201045E16,2.1529452092584028E16,2.1408816202265184E16,-4.4028398817670168E16,2.2258124666748836E16,-3.5032008175046075E15,-2.6939147916898644E16,4.2230182993396664E16,4.4561751135399096E16,-8.2694331516838896E16,4.6091516093471768E16,-9.733638033958206E15,-5.0602205136444088E16
-7.97900839880928,-6.027887272646279,493.94213508988327,6.60270030906775E15,6.521701087281811E15,-1.5382686711510684E16,4.852294299480562E15,8.130510172134533E13,-6.559345514828913E15,1.840285949726118E16,1.9238699531913388E16,-4.1112771588722632E16,1.494077280204023E16,-1.1904327241772778E15,-1.7535172233104156E16,3.6167583922970664E16,3.9745147055950992E16,-7.7582715076378128E16,3.1944043238367392E16,-4.924845910404429E15,-3.3093434438889704E16
-7.668884360240748,-6.417804349561838,492.32636361723786,8.223712454543615E15,9.698763838171528E15,-1.9739265208284364E16,7.295917095224209E15,-1.521759466624456E15,-7.278358916949803E15,2.2896599719598864E16,2.8101411885321716E16,-5.2368872893295976E16,2.1977728449852252E16,-5.814817004879127E15,-1.9315435037604948E16,4.4954400625366968E16,5.7174609481231608E16,-9.8084939180637968E16,4.6183609615621048E16,-1.4297678595834458E16,-3.6182163286758504E16
-7.59797728117351,-6.501595283833898,495.3432412811739,5.186694750388185E15,4.923626838712461E15,-1.2232509550676926E16,2.6009079660490175E15,8.713952155174079E14,-4.3576979706467125E15,1.4471484188258294E16,1.4539862830624624E16,-3.292123178393138E16,8.511173655779609E15,1.2545460998478122E15,-1.1731119682061026E16,2.8468997903171364E16,3.0065266077786596E16,-6.2558531677249984E16,1.9027348555937004E16,3.22921290256438E14,-2.2294709219835072E16
-6.60842408587258,-7.505246904749979,493.8965179029048,6.053219301510801E15,7.839258111049086E15,-1.6504524728459232E16,3.6749643134359435E15,-5.4928810976610644E14,-3.3668134890733675E15,1.699816665365174E16,2.2650274050768512E16,-4.4103045106215416E16,1.193036981217591E16,-2.8273450108254875E15,-9.001040763963049E15,3.3637849969009668E16,4.5974260839855544E16,-8.320928592809176E16,2.6522089334012288E16,-7.922137717560369E15,-1.6986024072225042E16
-4.965618321321481,-8.680013518823367,495.00814528012245,4.035199172338444E15,7.049189252417023E15,-1.3878820677772706E16,1.3088960765530002E15,-7.57740649214496E14,1.375509099316842E13,1.1552390986007582E16,2.0178521758855972E16,-3.7290436854094584E16,5.306013253121336E15,-3.058692697890544E15,3.3722615900981023E13,2.3261179822373852E16,4.0625301715452024E16,-7.0743426341800528E16,1.3450484620306228E16,-7.739472927200609E15,6.141001605856914E13
-3.395688584735674,-9.405811981721504,494.00881411604564,3.7935570920876375E15,8.972249033359101E15,-1.6294558925710394E16,2.1973151651105832E15,-2.6105829379586105E15,2.8667572596317245E15,1.115399440218379E16,2.55237580239145E16,-4.3566825135942344E16,8.070816461254381E15,-8.104008940929911E15,7.660789560679289E15,2.2979755741880096E16,5.1102408858777704E16,-8.2243269202519664E16,1.9409841329175088E16,-1.743824405433257E16,1.4458247228680446E16
-9.999999999999998,0,494.0090908240154,4.913257467760221E15,2.607851256091336E15,-8.229496885867807E15,8.560709772269079E15,-1.4907080087532242E15,-1.4346980188259448E16,1.4036499303332762E16,9.128967079443486E15,-2.1999873680795116E16,2.4462936972709692E16,-5.220551791562208E15,-3.8361009354481728E16,2.82119723715427E16,2.133304139860744E16,-4.152819111771556E16,4.9174227532592264E16,-1.220342098891371E16,-7.241732480372192E16
-9.850401447391855,-1.7232502213028709,493.00905356653993,6.83231538948894E15,4.95887797412482E15,-1.2289143248522102E16,9.506778027698706E15,-1.462248899848705E15,-1.477000736758351E16,1.9188517448920732E16,1.566020537195945E16,-3.2700331815807412E16,2.7303311427311788E16,-5.441497482308801E15,-3.9309439963078088E16,3.7978087535450808E16,3.4128530997151104E16,-6.1435275783276248E16,5.5126025669371848E16,-1.3185110195958554E16,-7.3858794393513584E16
-9.406101825485935,-3.394885631150201,492.00878579584406,8.577218214295881E15,7.878936566738849E15,-1.6685600816627056E16,1.036850926417443E16,-1.886406898187336E15,-1.4158804000845158E16,2.3867951601373084E16,2.3626924403712496E16,-4.4203344841698848E16,2.9957901809715036E16,-6.852531967138833E15,-3.751667845398368E16,4.683858864162176E16,4.9470095952661864E16,-8.2670457294060976E16,6.0802063558380872E16,-1.6375176516158738E16,-7.0171196435336384E16
-4.9671674835083115,-8.679127098434362,493.009281777763,5.895392353652505E15,1.0292267562898354E16,-1.9215179402623152E16,4.1730736349543735E15,-2.3993391552525675E15,1.5722961329751287E13,1.6791615981638262E16,2.9314292108080812E16,-5.113648273676496E16,1.3648230599628818E16,-7.838981995401833E15,3.753367939522196E13,3.3657022472291844E16,5.8754212092184488E16,-9.607812757401E16,3.0498154940800292E16,-1.750745007167003E16,6.7283127239570625E13
-3.3960697301577927,-9.405674371777176,492.0090362600552,5.846422272919696E15,1.2643745744669506E16,-2.1553905507993556E16,5.604125896266045E15,-4.617205298909887E15,3.7910351302647645E15,1.692466791289567E16,3.5744591503937108E16,-5.7106129388431288E16,1.7841133566665626E16,-1.3796119597251026E16,1.0039096083354234E16,3.4409479251408188E16,7.1164073882684392E16,-1.0680652440395608E17,3.9109289130616552E16,-2.8805352898256368E16,1.87723338495012E16
-1.722862745487514,-9.850469225382676,491.0089790515888,5.833071221245175E15,1.4797870798562906E16,-2.3078073694923808E16,7.712290291993495E15,-7.07472649153866E15,8.357022782889088E15,1.719099994824827E16,4.1665044816905512E16,-6.0881250973459384E16,2.3771049449431844E16,-2.0324107850730876E16,2.2040505918359996E16,3.5485588303450532E16,8.2644667895328176E16,-1.13360252682404816E17,5.085953964226368E16,-4.1047788214789944E16,4.103490214307516E16
-8.718041853352846,-4.8985453190909745,491.09149869304645,9.941846271733822E15,1.0979560179767832E16,-2.0887885115993436E16,1.1161005647947546E16,-2.7542340934086645E15,-1.2468091042839134E16,2.7544838245883292E16,3.1977070709359196E16,-5.51179089055786E16,3.2435562083968644E16,-9.383471235622694E15,-3.2907288583728956E16,5.3833195257711416E16,6.534624848585332E16,-1.02662496229552128E17,6.6159222939666424E16,-2.1553166881460476E16,-6.1299192770340744E16
0,-9.999999999999998,490.00894179411347,6.024269862662177E15,1.6751780388864562E16,-2.35879410110439E16,1.0496051973206722E16,-9.600271346906794E15,1.3522994859890422E16,1.8020016183304796E16,4.70872733900766E16,-6.1964237111817528E16,3.1405780238190612E16,-2.6980344857384716E16,3.551703857593486E16,3.7653553644905464E16,9.32544352181344E16,-1.14869445199530192E17,6.5634534504535112E16,-5.3430150136821208E16,6.5836057411858616E16
-1.7228856274878839,-9.850465223257006,489.0089045366379,8.684920409698799E15,1.9775080891554304E16,-2.8037535973235264E16,1.2681570901211954E16,-9.92653139669931E15,1.0152996860849926E16,2.5040679834329164E16,5.5188408592494216E16,-7.3344470425782512E16,3.7547100582979168E16,-2.81250701917281E16,2.6552531973659712E16,5.072943047036932E16,1.08579048694369168E17,-1.35369504009176336E17,7.77900074890372E16,-5.6107612042506472E16,4.900180586855308E16
0,-9.999999999999998,492.00901630906446,3.4596637849225475E15,1.222284057039771E16,-1.898521733288568E16,6.02556009592634E15,-7.004155057687655E15,1.08838400695456E16,1.0854864115657002E16,3.4674531316106332E16,-5.0302037199877368E16,1.8912504267486164E16,-1.9866549584035708E16,2.8831283051636236E16,2.3542781938692804E16,6.9248349550706936E16,-9.4081612623407104E16,4.1027255301745528E16,-3.9673430587690744E16,5.3919490027356704E16
-7.709527697744024,-6.368923196091921,490.4218647278973,1.0642329502931776E16,1.3790792468658078E16,-2.443066017320074E16,1.144408008670565E16,-3.8281967125611315E15,-9.185200858525714E15,2.9481053850943328E16,3.9429773970607656E16,-6.42844753323346E16,3.3528962830974496E16,-1.2347348844967422E16,-2.4175476412457308E16,5.7608145351264608E16,7.9293241820771712E16,-1.19383495680270192E17,6.8860994856908056E16,-2.7323884689682928E16,-4.4901571013364456E16
-6.472230632923555,-7.6230066662863365,491.7457339129905,8.316701756783965E15,1.1925369015813824E16,-2.2208036949315036E16,7.398478436648123E15,-2.7643022021730165E15,-4.1158811529660925E15,2.3269467393387004E16,3.4039875362234308E16,-5.8769999545861288E16,2.2548362046127636E16,-9.173319036018768E15,-1.0897387648365582E16,4.589395385739244E16,6.8356365155875008E16,-1.09787619194286352E17,4.78231821084762E16,-2.0707121432563068E16,-2.0361571622755836E16
-4.96811178407683,-8.678586595806767,491.009107175604,8.239875726166359E15,1.4378954117593462E16,-2.4543722807829252E16,8.130294559634883E15,-4.667556745715151E15,1.7341206731145244E13,2.3268351660559228E16,4.0606805791994312E16,-6.4745941399797368E16,2.482629268375736E16,-1.4245053599819966E16,4.0106962674671164E13,4.6279413994085064E16,8.0764992604261264E16,-1.20555291427832272E17,5.2732533868864384E16,-3.0249388359262268E16,7.02720074274565E13
-6.432611637358896,-7.656468345321811,489.714621026398,1.100947720967189E16,1.6673688892520694E16,-2.7524158390014548E16,1.2058840136365186E16,-5.466538834299517E15,-4.954072665027887E15,3.0598607606420576E16,4.7052159755062264E16,-7.221019093125352E16,3.551100069465946E16,-1.673558005341259E16,-1.3003853193663088E16,5.9975222958660864E16,9.3518415452441008E16,-1.3368636216618552E17,7.3243303326961536E16,-3.5622590695715468E16,-2.4080201296794756E16
-9.999999999999998,0,492.00901630906446,7.009671134335217E15,6.031573495026017E15,-1.0886350261059458E16,1.2216029912852352E16,-3.4539689615017335E15,-1.898067552654384E16,1.9880871994187568E16,1.89289525710673E16,-2.8838279458458944E16,3.4655908811009984E16,-1.083958353687365E16,-5.0290973040183336E16,3.9699782089236152E16,4.1058997552525192E16,-5.3933610449277816E16,6.9212485791010248E16,-2.3513837907239388E16,-9.40629632105712E16
-9.850446197796721,-1.7229944005457951,491.0089790515888,9.196027032556998E15,8.933463161266013E15,-1.5695932110023146E16,1.3576351371409374E16,-3.7114517873541655E15,-1.8867046058912716E16,2.5681387402254156E16,2.6855898774766224E16,-4.1401163881574568E16,3.8579437825570144E16,-1.1832192731312922E16,-4.9774895401179936E16,5.0564048929383272E16,5.634158765723404E16,-7.7084582188202544E16,7.716156041967528E16,-2.5965264766981104E16,-9.268307927173864E16
-9.405577223765825,-3.396338776944593,490.0088903538644,1.1189299081230358E16,1.2369700301827262E16,-2.0733654114414464E16,1.4878568245351238E16,-4.4361080909840415E15,-1.7589034381536534E16,3.09643117477299E16,3.6103209530121376E16,-5.44592874008506E16,4.2390837113173976E16,-1.4038063869437694E16,-4.6207836259224056E16,6.0448345411008872E16,7.3910260459541968E16,-1.00951574766869008E17,8.4980314309716432E16,-3.063868967213998E16,-8.566213733631192E16
-8.68973954612772,-4.948578242330211,489.1544731616978,1.2680250806363638E16,1.578583431392097E16,-2.536275512041698E16,1.5883427337944858E16,-5.479992467475217E15,-1.4942604670220706E16,3.493160298905638E16,4.5173559615087008E16,-6.6381585931513672E16,4.5416166748474936E16,-1.700476733501323E16,-3.9117400033468104E16,6.7900826131951496E16,9.0910569561996592E16,-1.22591591641080368E17,9.1331776308700336E16,-3.6572139526136536E16,-7.2247853252597952E16
-7.673438513145576,-6.412358488495024,488.3974500471583,1.3668855495257272E16,1.9143390655222224E16,-2.9467883337222724E16,1.6726634398473166E16,-6.899837984808981E15,-1.0890431803790682E16,3.76177322292466E16,5.3997501600021752E16,-7.6885211032226832E16,4.801717995737508E16,-2.0867562487719328E16,-2.8422559647632892E16,7.3052127129619456E16,1.07275004153302544E17,-1.41519449469207808E17,9.6896810839426928E16,-4.398987961821476E16,-5.2323068842050432E16
0,-9.999999999999998,488.0088672791624,9.153230137225618E15,2.2176022176843348E16,-2.8129226065538556E16,1.5951758291272414E16,-1.2710573645934578E16,1.612757929195091E16,2.6611760086352228E16,6.1742592779248136E16,-7.3279968025695888E16,4.6388638618505E16,-3.5381734788196788E16,4.2006644001194568E16,5.4299273864226152E16,1.21203905199162832E17,-1.3465650239264152E17,9.4663149389208016E16,-6.9450630601837824E16,7.7184960338009792E16
