% Model,cyl_test.mph
% Version,COMSOL 6.1.0.252
% Date,"May 11 2023, 15:33"
% Dimension,3
% Nodes,9072
% Expressions,18
% Description,"Displacement field, X-component, Displacement field, Y-component, Displacement field, Z-component"
% Length unit,nm
% X,Y,Z,u (nm) @ lambda=1,v (nm) @ lambda=1,w (nm) @ lambda=1,u (nm) @ lambda=2,v (nm) @ lambda=2,w (nm) @ lambda=2,u (nm) @ lambda=3,v (nm) @ lambda=3,w (nm) @ lambda=3,u (nm) @ lambda=4,v (nm) @ lambda=4,w (nm) @ lambda=4,u (nm) @ lambda=5,v (nm) @ lambda=5,w (nm) @ lambda=5,u (nm) @ lambda=6,v (nm) @ lambda=6,w (nm) @ lambda=6
-6.341926260378987,-7.73175085655994,498.2978647941698,2381454.0356923803,2690748.265185907,-5439824.66518931,-224084.36427925798,962018.9243047427,-911843.4985568138,6609394.792221158,7678130.631257898,-1.4877608924943566E7,11318.913195191433,2187273.003741522,-2495187.4786942974,1.2956216138182461E7,1.5436648325561738E7,-2.8761661508506607E7,1180511.7547726778,3403621.5540623064,-4824740.74048676
-7.066369443706882,-7.075763060267472,496.84172383388704,3913871.2312775142,3822759.4565652995,-9154593.98075015,837512.1578693435,1250878.2144826932,-2472036.1770630316,1.0897086228364184E7,1.116226089112357E7,-2.4812441372088563E7,3364186.984391929,2594624.7788643506,-6702503.125430665,2.1425085776526466E7,2.289325514263831E7,-4.7550082011520356E7,8496441.140288321,3480412.5639674845,-1.2846144611577949E7
-10,0,496.0091653388107,3429846.4369930173,347639.61927729665,-5864548.450779089,5976823.573511428,-197227.3203489373,-1.0221836998886906E7,9801320.350833295,2440130.965389384,-1.58170579972679E7,1.7084411664074738E7,-1393493.8339602684,-2.757464055210948E7,1.9731425436343864E7,7482867.900904774,-3.016731109814373E7,3.439754406641073E7,-4279655.574262814,-5.2595337459222905E7
-9.831588995063482,-1.827527792441644,496.91678160819305,3580201.050453164,401598.1405589363,-6000217.462786074,4109943.79018589,997228.0989419697,-7055685.386598214,1.000866766288237E7,2194341.248784102,-1.6267866044656884E7,1.1882093272212742E7,1949788.663098818,-1.9132935629231934E7,1.9753315389014956E7,6277827.279962079,-3.1186240701680426E7,2.416123132298058E7,2325476.6722371397,-3.668062679886168E7
-9.860220441910542,-1.6661491040508611,494.9066987011142,5221053.710475638,2240746.334660553,-9426311.525167959,6800989.427130696,36658.335486339965,-1.1463355039077424E7,1.4678872818716006E7,7851155.270386011,-2.5277948803574685E7,1.9643930877012074E7,-1083118.4964644825,-3.074761854646222E7,2.91213850825292E7,1.837683578334718E7,-4.793620664819612E7,3.991192228170794E7,-4291138.674855233,-5.831449135401172E7
-9.510790334833441,-3.089476850024742,495.51789194946264,5208062.92688549,2354381.4211768126,-9744234.926754761,5103529.495669919,933590.9127936665,-8823950.008891147,1.4521082775558298E7,7870317.496380905,-2.621453807729074E7,1.500330390592078E7,1413525.3363378027,-2.3743744647096265E7,2.858902688044662E7,1.787300246027936E7,-4.987086121613091E7,3.0944273718232207E7,616042.8663589838,-4.5174149765629314E7
-5.697138022069295,-8.218431623947014,496.8026059232619,3268394.701579058,4670764.961548512,-9550609.747302063,55025.05420368809,555924.4677099987,-817831.6543958173,9220105.778173447,1.3390315159205275E7,-2.58786154520833E7,1336305.9643587945,769749.239959299,-2218107.070288845,1.8346916629609615E7,2.7031117631176677E7,-4.95793387783264E7,4784590.7979089245,93054.33416100632,-4250925.147347599
-6.432531906214245,-7.6565353310446955,495.57844702431925,4673846.975694559,5802455.186583265,-1.2769277970110482E7,1508708.7268319158,481791.7551025725,-2297020.0458565624,1.3124619733998382E7,1.6793526310116075E7,-3.436604479763299E7,5649328.186984784,258963.49081496795,-6185435.618831052,2.6008227283276975E7,3.418224834839369E7,-6.5401117864704445E7,1.3748095826218504E7,-1466367.1106805634,-1.177420051922571E7
-4.34246905426566,-9.007938860402255,496.8456064270476,2429010.1453571254,5089738.403033753,-9432517.752647676,-447295.9442941282,-231347.787215374,675693.9459508237,7018092.087747075,1.4469000603794122E7,-2.5566447406690266E7,6135.3981493417705,-1276072.4398426584,1828893.9210580685,1.4263636046139156E7,2.8991522254940398E7,-4.899555012914221E7,2294378.0580613236,-3662772.57704878,3502422.250581016
-3.1151044049624756,-9.502427297600512,495.95691789086163,2218805.425597198,6460852.168898071,-1.167979513141259E7,-22952.195286076734,-1476873.2487322139,2413784.854008514,6664957.533672128,1.8362404690895755E7,-3.149768909522781E7,1499463.7973684936,-4733112.34086012,6506553.986654251,1.3992679762889324E7,3.6784442519516714E7,-6.006173794118745E7,5799016.7180447215,-1.0440101582240133E7,1.2404496820860967E7
-9.454873118693957,-3.256589367635776,493.92096978332086,6789367.819693565,4639957.0651828805,-1.325210556215702E7,7359053.8228018405,-91869.32696089917,-1.158305214443688E7,1.8931658827977266E7,1.4504686994870186E7,-3.5368114863657616E7,2.1497531495301943E7,-1710147.7145690208,-3.092010052534696E7,3.727516033131311E7,3.1409499031159054E7,-6.674863877231566E7,4.410190612076763E7,-6014905.442929755,-5.835884159971922E7
-1.5080060008739904,-9.885642007544476,496.95291862393645,646398.4807536863,5090500.198499887,-8550923.248172231,-640159.5758974551,-1909682.0906463133,3308489.16368638,2338133.086651908,1.4432320769887598E7,-2.318954947924756E7,-543819.5111598489,-5636471.4872549465,8970952.768414123,5578858.957089691,2.88481627448068E7,-4.446344432863056E7,1189943.7611858866,-1.166570428292763E7,1.720016082922924E7
0,-10,496.0091653388107,199149.17482306054,5977886.248138941,-1.022293237038087E7,341925.71837500803,-3425285.3573370357,5859224.344931104,1398634.5783882297,1.7087893272998136E7,-2.7579241672406256E7,2424895.992372531,-9789602.79445319,1.5803721600646898E7,4289435.600535736,3.440606021141192E7,-5.260837647673354E7,7454032.558555372,-1.970961390756878E7,3.014287296038283E7
-1.7231478430719906,-9.85041935710944,495.00912808141294,1909831.0284741223,7793538.344952297,-1.369150117809161E7,968345.5987623091,-3112417.4018032793,4957241.815783217,6090481.34244652,2.217243223386981E7,-3.674103556769198E7,4511201.214331233,-9201635.530790798,1.3299732954451554E7,1.338438282256166E7,4.445618633089162E7,-6.971671672243176E7,1.2179085555758433E7,-1.9070244957042094E7,2.5234156908764344E7
0,-9.999999999999998,494.0090908240154,1567937.4735773082,8988611.223867623,-1.5056903112302838E7,2728780.628955011,-5150664.199815952,8631358.755910708,5481254.264337995,2.5651074903738026E7,-4.020671070575423E7,9544989.730652688,-1.4696024864930836E7,2.3044442947760094E7,1.2811489318122469E7,5.157032119249625E7,-7.591599806782705E7,2.2316525347503845E7,-2.9543231971354377E7,4.350763411211524E7
-1.7228405848657522,-9.850473101285004,493.00905356653993,3712553.191599758,1.1228220544404244E7,-1.895496258563982E7,3948502.1904006596,-4989696.907216832,6863391.302396084,1.127215639405149E7,3.181547300760417E7,-5.0379962179084726E7,1.3201642701103883E7,-1.4535603415557804E7,1.823777817185769E7,2.386808012637079E7,6.35595192783734E7,-9.467636197861113E7,2.9979318811540555E7,-2.9752526470130775E7,3.4269835826278955E7
-8.77089767458613,-4.803264929393297,492.93890984355676,8121650.345341091,7545476.406844719,-1.736501643074398E7,7893566.906742957,-730796.9534018361,-1.062266740847648E7,2.2559610378959667E7,2.2433202198495965E7,-4.613510453181701E7,2.3323447692013446E7,-3670871.7570589227,-2.822851505156182E7,4.4259199607521825E7,4.670279168741704E7,-8.666751281181793E7,4.830613330015952E7,-1.0201322397612428E7,-5.3033553121945806E7
-7.97900839880928,-6.027887272646279,493.94213508988327,6927681.445188257,6842695.815923154,-1.613981409135073E7,5091121.892043426,85307.34599241185,-6882193.796963401,1.9283414101884663E7,2.0159248067330603E7,-4.307996805840343E7,1.5655871198273202E7,-1247409.471329628,-1.837444431168098E7,3.790531328114281E7,4.1654766165690415E7,-8.131030059687494E7,3.3478898975798506E7,-5161476.177172754,-3.46835164397314E7
-7.668884360240748,-6.417804349561838,492.32636361723786,8628478.79497247,1.0176132053982662E7,-2.071082106498262E7,7655018.508340913,-1596658.9167052414,-7636596.928201713,2.399217436857513E7,2.944603050080852E7,-5.487466021570023E7,2.3029631092113256E7,-6093127.005557799,-2.023991442429929E7,4.711430662922289E7,5.992165497104301E7,-1.0279758682217586E8,4.8402651756884575E7,-1.4984657166633213E7,-3.792065334466363E7
-7.59797728117351,-6.501595283833898,495.3432412811739,5441980.986358889,5165965.12931643,-1.2834587002928808E7,2728923.5203734003,914285.1292605168,-4572182.208414362,1.5163927230600169E7,1.5235577706017166E7,-3.449647296590411E7,8918537.230096491,1314591.4436609654,-1.2292596982504467E7,2.9836836397449132E7,3.1509799834373E7,-6.5564256299782924E7,1.9941579574284345E7,338437.1076394738,-2.336593124830866E7
-6.60842408587258,-7.505246904749979,493.8965179029048,6351155.350281705,8225102.354776033,-1.7316868614024844E7,3855844.3633858156,-576323.2087474948,-3532527.260273327,1.781150840132634E7,2.3734062305823725E7,-4.621332254919893E7,1.2501383669418838E7,-2962667.9983742908,-9431850.450791858,3.5254034218517244E7,4.8183167677328505E7,-8.720720904299323E7,2.779642961464945E7,-8302782.640846574,-1.780217301914164E7
-4.965618321321481,-8.680013518823367,495.00814528012245,4233809.48500815,7396146.732502757,-1.456192901141033E7,1373319.4690709042,-795035.7172166473,14431.142576381446,1.2105158943291117E7,2.1144039652087715E7,-3.907473921760658E7,5559970.768799701,-3205088.496151283,35336.66712424505,2.4378800376261376E7,4.257720926343185E7,-7.414240731712367E7,1.4096757023280544E7,-8111341.12693128,64360.63471361419
-3.395688584735674,-9.405811981721504,494.00881411604564,3980273.845455836,9413858.644273477,-1.7096568837599967E7,2305466.017069461,-2739073.7032512487,3007856.2679137546,1.1687699565033078E7,2.674503901471107E7,-4.5651445095511965E7,8457103.56824749,-8491884.72544033,8027451.892175944,2.4083854823894273E7,5.355770576670671E7,-8.619477851150765E7,2.0342450458085686E7,-1.8276121335921716E7,1.5152940833895793E7
-9.999999999999998,0,494.0090908240154,5155084.84810814,2736208.4418168063,-8634547.442195281,8982063.32262489,-1564079.6175327096,-1.5053130869360415E7,1.4708128849565968E7,9565777.126366362,-2.3052541077287536E7,2.5633787189573612E7,-5470418.939668362,-4.019705202474598E7,2.9567461652386773E7,2.2358021469884243E7,-4.352347940069187E7,5.153696365771914E7,-1.278977413687025E7,-7.589685133588798E7
-9.850401447391855,-1.7232502213028709,493.00905356653993,7168597.736418654,5202951.4697023695,-1.2894007457161022E7,9974696.646714218,-1534219.6040170516,-1.5496979485585274E7,2.0106664841673244E7,1.6409527282578552E7,-3.4265003210199766E7,2.861010824051105E7,-5701939.581576489,-4.119087661457162E7,3.980280542462697E7,3.576829081531615E7,-6.438703176245607E7,5.777473534785796E7,-1.3818631798404308E7,-7.740758103989708E7
-9.406101825485935,-3.394885631150201,492.00878579584406,8999383.710419623,8266733.85647601,-1.7506856421856675E7,1.0878841920190306E7,-1979254.2116747706,-1.485569334690923E7,2.5010004267306507E7,2.4757444197213415E7,-4.631842151527876E7,3.1391753183167327E7,-7180509.297573387,-3.931230957422721E7,4.9089023464544736E7,5.184696577798889E7,-8.664249150670826E7,6.372349698956179E7,-1.716197525189809E7,-7.354280042062163E7
-4.9671674835083115,-8.679127098434362,493.009281777763,6185560.207497685,1.0798847784331731E7,-2.016094053635457E7,4378470.328067138,-2517432.531248554,16495.498904518696,1.759507452969959E7,3.0716945576627117E7,-5.3583301672300816E7,1.4301465070346003E7,-8214173.005900965,39330.141108454,3.527412789390824E7,6.157715211501136E7,-1.0069435475800966E8,3.1963538259138167E7,-1.834865257924451E7,70515.92942742635
-3.3960697301577927,-9.405674371777176,492.0090362600552,6134179.745263307,1.3266064653124578E7,-2.2614777786586653E7,5879958.154712281,-4844460.606443971,3977626.1973293447,1.773449283654878E7,3.745492703000128E7,-5.9838588702725284E7,1.8695049638785962E7,-1.4456432379524244E7,1.0519589425055025E7,3.6062737658352174E7,7.458326555184805E7,-1.1193821456577967E8,4.0988422471564E7,-3.0189399984117795E7,1.9674311805323463E7
-1.722862745487514,-9.850469225382676,491.0089790515888,6120171.415034127,1.5526214792449342E7,-2.421396505647869E7,8091885.187834054,-7422939.427937753,8768349.0284212,1.8013568540068746E7,4.365866688103331E7,-6.379434529199385E7,2.4908784399493646E7,-2.129686457825634E7,2.3095413256618958E7,3.719055008526494E7,8.661546305570196E7,-1.1880682720115949E8,5.330325208601574E7,-4.302006302279835E7,4.30065577865352E7
-8.718041853352846,-4.8985453190909745,491.09149869304645,1.0431177995676069E7,1.1519968610904807E7,-2.191597508569375E7,1.1710344614888065E7,-2889795.146187196,-1.3081764762618868E7,2.8862825497576263E7,3.3507134917319898E7,-5.775523428532294E7,3.398799975205073E7,-9832584.915050713,-3.4482304115391016E7,5.641969713179249E7,6.848591343357493E7,-1.0759507990583448E8,6.933805856512152E7,-2.2588759043498565E7,-6.424451241597808E7
0,-9.999999999999998,490.00894179411347,6320780.560338583,1.7576294971970912E7,-2.4748928136197146E7,1.1012662030268796E7,-1.007279001163963E7,1.4188587242573738E7,1.888225220319162E7,4.934034254019015E7,-6.4929151004584454E7,3.2908930274693046E7,-2.827168379872657E7,3.7216962547864944E7,3.946267878083182E7,9.773499360976817E7,-1.2038853129370105E8,6.87881597572537E7,-5.599737589734461E7,6.899936543413995E7
-1.7228856274878839,-9.850465223257006,489.0089045366379,9112386.790854486,2.0748400775101725E7,-2.9417529612755414E7,1.3305751127361404E7,-1.0415108182879262E7,1.0652719571707474E7,2.6238846132280026E7,5.782910727699248E7,-7.685391474036132E7,3.934418777990455E7,-2.9471198219855543E7,2.782339485367358E7,5.3166807000799395E7,1.1379590263206519E8,-1.4187354818432894E8,8.152768208404517E7,-5.880348518567424E7,5.1356257372875415E7
0,-9.999999999999998,492.00901630906446,3629946.21697187,1.2824442911319239E7,-1.9919660609673873E7,6322134.937009823,-7348894.687966335,1.1419535092653925E7,1.1374256259165287E7,3.633366575261957E7,-5.270892891484025E7,1.9817698510858E7,-2.081740655949664E7,3.0211211986201476E7,2.4673932506226216E7,7.25754971867454E7,-9.860191407559043E7,4.299854357774507E7,-4.157966990672942E7,5.651022771831105E7
-7.709527697744024,-6.368923196091921,490.4218647278973,1.1166138627354948E7,1.4469568365138693E7,-2.563312391643634E7,1.200735186337672E7,-4016617.391709726,-9637292.859324155,3.08916866811104E7,4.1316441027156614E7,-6.73604098412062E7,3.513373307436239E7,-1.293832025878758E7,-2.533256811509602E7,6.037602073443975E7,8.31030123543896E7,-1.251194665033658E8,7.216964592575593E7,-2.8636749801553484E7,-4.705901345652301E7
-6.472230632923555,-7.6230066662863365,491.7457339129905,8726044.975150602,1.251232966646588E7,-2.330110468674345E7,7762627.86644163,-2900358.735630473,-4318464.000509254,2.438288331038833E7,3.566864228142045E7,-6.1582073044440456E7,2.3627576473168906E7,-9612374.367453875,-1.1418960682771893E7,4.809900219720454E7,7.164065596923755E7,-1.1506254080517934E8,5.012100285700994E7,-2.1702062581026867E7,-2.1339909768813863E7
-4.96811178407683,-8.678586595806767,491.009107175604,8645437.556342239,1.5086679082845768E7,-2.5751752075663496E7,8530463.552500958,-4897290.20170256,18193.022503498458,2.438171419184443E7,4.254979239893747E7,-6.784395649465127E7,2.6014533904871967E7,-1.4926853357117102E7,42026.59190358079,4.850298238038515E7,8.464547575738017E7,-1.2634756306671219E8,5.526624043184998E7,-3.1702818834222045E7,73648.41117777942
-6.432611637358896,-7.656468345321811,489.714621026398,1.1551357110407898E7,1.7494359565066416E7,-2.887888280046032E7,1.2652370074449403E7,-5735597.569149147,-5197911.186465266,3.206271403464411E7,4.930354876352084E7,-7.566536135505424E7,3.721063564973021E7,-1.7536581912456453E7,-1.3626246319480492E7,6.285682836676555E7,9.801165718980162E7,-1.401095370749409E8,7.676251669745655E7,-3.733419419383779E7,-2.5237213140402526E7
-9.999999999999998,0,492.00901630906446,7354682.650168218,6328444.644657432,-1.1422169435635494E7,1.2817296362839552E7,-3623970.906214494,-1.9914894210468013E7,2.0832147718116835E7,1.9834680085342254E7,-3.0218156315815467E7,3.631461718246526E7,-1.1358389964437991E7,-5.26980101329163E7,4.160722153958552E7,4.303174271585301E7,-5.6524936921524465E7,7.253802538143265E7,-2.4643636911157463E7,-9.85825250291301E7
-9.850446197796721,-1.7229944005457951,491.0089790515888,9648649.753467126,9373163.828352245,-1.6468476408713358E7,1.4244572212920634E7,-3894126.6865820284,-1.9795672300619047E7,2.6910210783804987E7,2.8140921090276416E7,-4.3382159584768005E7,4.0425934963932924E7,-1.2398507631001204E7,-5.215723187354017E7,5.2993479439602725E7,5.904860928649794E7,-8.078823409625377E7,8.086903922586192E7,-2.7212850562695567E7,-9.713634007521956E7
-9.405577223765825,-3.396338776944593,490.0088903538644,1.1740029524648221E7,1.2978530823554495E7,-2.1754152558016386E7,1.5610883590731025E7,-4654449.917252026,-1.8454757974636983E7,3.2445916679674894E7,3.783070449550798E7,-5.70650985414696E7,4.441975624210071E7,-1.4709956639364952E7,-4.841944539428494E7,6.335268273915792E7,7.746139705220152E7,-1.0580195447831881E8,8.906347064645801E7,-3.2110825400657672E7,-8.977805409851259E7
-8.68973954612772,-4.948578242330211,489.1544731616978,1.3304365048017362E7,1.6562805246986432E7,-2.6611095691242814E7,1.6665201373357506E7,-5749713.444214039,-1.5678072838158434E7,3.660303801614428E7,4.7335059875757694E7,-6.955786465455838E7,4.758988483779108E7,-1.7818653091591652E7,-4.098964521844644E7,7.116322980400218E7,9.527851317623748E7,-1.2848170055156124E8,9.572010935148704E7,-3.832936719516722E7,-7.571923700104032E7
-7.673438513145576,-6.412358488495024,488.3974500471583,1.4341628286643758E7,2.0085618863316987E7,-3.0918276465056133E7,1.7549910668962914E7,-7239442.707083882,-1.1426454640995502E7,3.9417695296989836E7,5.658121682571026E7,-8.056407552638136E7,5.031538828568553E7,-2.1866330159187213E7,-2.978292613491519E7,7.656203328848559E7,1.1242920318257298E8,-1.4831897756536362E8,1.0155253411523236E8,-4.610351679262521E7,-5.483710135734718E7
0,-9.999999999999998,488.0088672791624,9603746.251889646,2.326751533504298E7,-2.9513733059560064E7,1.6736895291386874E7,-1.3336179222292805E7,1.6921367505346145E7,2.7885100679703142E7,6.469690125845178E7,-7.678632597324477E7,4.860890136324856E7,-3.707518282178105E7,4.401717483318436E7,5.6908169219404034E7,1.2702734054857935E8,-1.4112628927595332E8,9.921154911001183E7,-7.278761257754402E7,8.08935634019758E7
-6.415314735021199,-7.6709671391956755,487.70411478638044,1.4894904861499632E7,2.3375143318218157E7,-3.4314136550653815E7,1.85381227742622E7,-9139111.611700796,-6096367.735940614,4.1027764046387225E7,6.5171275213443E7,-8.915830857836194E7,5.328733938108315E7,-2.6884979733535647E7,-1.584859806175029E7,7.98527580633804E7,1.2827787590887733E8,-1.6364279888374987E8,1.077930533938191E8,-5.5476056602324724E7,-2.9095054708043966E7
-3.3961850639845528,-9.40563272784815,490.00896239340085,8848553.052056007,1.8021646678524014E7,-2.8098297618199054E7,1.0569114993113196E7,-7545637.719805884,4941170.503228472,2.520996111504002E7,5.045498111963322E7,-7.371261294713908E7,3.179958254707508E7,-2.1945895041883048E7,1.29554537830669E7,5.060913890915822E7,9.969882438946937E7,-1.3667033709039184E8,6.683529242504742E7,-4.485535335701496E7,2.4013913313448265E7
-4.968058807609612,-8.678616922305798,489.00945550835775,1.1638358759216791E7,2.0306733755551875E7,-3.128462118371224E7,1.3743856012957131E7,-7887493.597148004,22546.959921989688,3.251143377117685E7,5.673132529851385E7,-8.17290399907005E7,4.0431880517512314E7,-2.319365861357832E7,52224.90867051419,6.411412085130135E7,1.1187867248110758E8,-1.5087100416723523E8,8.34247417430967E7,-4.7846055209696345E7,91736.03569091264
-3.396581685711592,-9.405489506255833,488.009206677566,1.2117362357719898E7,2.3709120677691996E7,-3.3506834571516275E7,1.6292779507248849E7,-1.0820395770538187E7,5891835.28667317,3.407604258819231E7,6.578367867871634E7,-8.717307762603663E7,4.751520444362238E7,-3.087829733419356E7,1.5320819230830131E7,6.760900892777826E7,1.2890474364757256E8,-1.602156666098676E8,9.732075060850443E7,-6.2075560853872396E7,2.8151704439062368E7
-1.7232626819200458,-9.85039926749681,487.00883002168706,1.2669051120407334E7,2.6903928224898648E7,-3.453907414208385E7,1.9531830095079154E7,-1.3957971853116212E7,1.2506194657537991E7,3.5871967185517855E7,7.431595741520202E7,-8.948807692021938E7,5.631134707727604E7,-3.901669595326074E7,3.239396022630215E7,7.16105140322627E7,1.4501271168770894E8,-1.637445635993928E8,1.1420267841045964E8,-7.69853390585952E7,5.9266304157314576E7
