% Model,defect_cell_only_meters.mph
% Version,COMSOL 6.1.0.252
% Date,"May 17 2023, 06:20"
% Table,Table 5 - Surface Freq
% Eigenfrequency (Hz),Frequency (Hz)
0.03037057472128636,0.03037057472128636
0.06153286667613514,0.06153286667613514
0.08268399418550682,0.08268399418550682
0.10809085627786613,0.10809085627786613
0.1252137148758762,0.1252137148758762
0.1409865226809799,0.1409865226809799
0.1442124953114168,0.1442124953114168
0.20612914832347756,0.20612914832347756
0.2977698780478985,0.2977698780478985
0.32404208149434566,0.32404208149434566
